"User_ID","UTC_Time","Account","Operation","Coin","Change","Remark"
"812765506","2024-02-11 13:01:13","Spot","Deposit","JPY","10000.00000000",""
"812765506","2024-02-11 22:30:36","Spot","Fiat Withdraw","JPY","-1000.00000000",""
"812765506","2024-02-16 02:46:59","Spot","Deposit","JPY","100000.00000000",""
"812765506","2024-03-04 01:50:52","Spot","Buy Crypto With Fiat","JPY","-2000.00000000","Via CashBalance -  N01460967862820720640030406"
"812765506","2024-03-04 01:50:52","Spot","Buy Crypto With Fiat","MATIC","11.53419809","Via CashBalance -  N01460967862820720640030406"
"812765506","2024-03-04 01:52:08","Spot","Simple Earn Locked Subscription","MATIC","-5.00000000","Binance Earn"
"812765506","2024-03-04 21:31:51","Spot","Buy Crypto With Fiat","JPY","-100000.00000000","Via CashBalance -  N01461265066986888192030406"
"812765506","2024-03-04 21:31:51","Spot","Buy Crypto With Fiat","DAI","637.43361562","Via CashBalance -  N01461265066986888192030406"
"812765506","2024-03-04 21:44:01","Spot","Transaction Buy","ETH","0.00320000",""
"812765506","2024-03-04 21:44:01","Spot","Transaction Spend","DAI","-11.43555200",""
"812765506","2024-03-04 21:44:01","Spot","Transaction Fee","ETH","-0.00000320",""
"812765506","2024-03-04 21:45:23","Spot","Transaction Buy","ETH","0.05260000",""
"812765506","2024-03-04 21:45:23","Spot","Transaction Spend","DAI","-146.02118000",""
"812765506","2024-03-04 21:45:23","Spot","Transaction Fee","ETH","-0.00005260",""
"812765506","2024-03-04 21:45:23","Spot","Transaction Spend","DAI","-146.02118000",""
"812765506","2024-03-04 21:45:23","Spot","Transaction Spend","DAI","-146.02118000",""
"812765506","2024-03-04 21:45:23","Spot","Transaction Buy","ETH","0.04090000",""
"812765506","2024-03-04 21:45:23","Spot","Transaction Fee","ETH","-0.00004090",""
"812765506","2024-03-04 21:45:23","Spot","Transaction Fee","ETH","-0.00004090",""
"812765506","2024-03-04 21:45:23","Spot","Transaction Buy","ETH","0.04090000",""
"812765506","2024-03-04 21:45:23","Spot","Transaction Buy","ETH","0.04090000",""
"812765506","2024-03-04 21:45:23","Spot","Transaction Spend","DAI","-187.79252000",""
"812765506","2024-03-04 21:45:23","Spot","Transaction Fee","ETH","-0.00004090",""
"812765506","2024-03-05 10:37:58","Spot","Buy Crypto With Fiat","ETC","1.17678590","Via CashBalance -  N01461462897341334528030506"
"812765506","2024-03-05 10:37:58","Spot","Buy Crypto With Fiat","JPY","-7000.00000000","Via CashBalance -  N01461462897341334528030506"
"812765506","2024-03-05 10:47:06","Spot","Transaction Fee","ETH","-0.00000853",""
"812765506","2024-03-05 10:47:06","Spot","Transaction Revenue","ETH","0.00852600",""
"812765506","2024-03-05 10:47:06","Spot","Transaction Fee","ETH","-0.00000335",""
"812765506","2024-03-05 10:47:06","Spot","Transaction Sold","ETC","-0.84000000",""
"812765506","2024-03-05 10:47:06","Spot","Transaction Revenue","ETH","0.00334950",""
"812765506","2024-03-05 10:47:06","Spot","Transaction Sold","ETC","-0.33000000",""
"812765506","2024-03-05 21:54:50","Spot","Transaction Sold","ETH","-0.11880000",""
"812765506","2024-03-05 21:54:50","Spot","Transaction Revenue","DAI","418.14748800",""
"812765506","2024-03-05 21:54:50","Spot","Transaction Revenue","DAI","250.95888800",""
"812765506","2024-03-05 21:54:50","Spot","Transaction Fee","DAI","-0.25095889",""
"812765506","2024-03-05 21:54:50","Spot","Transaction Sold","ETH","-0.07130000",""
"812765506","2024-03-05 21:54:50","Spot","Transaction Fee","DAI","-0.41814749",""
"812765506","2024-03-06 01:31:37","Spot","Simple Earn Locked Rewards","MATIC","0.00075340","Binance Earn"
"812765506","2024-03-07 01:21:37","Spot","Simple Earn Locked Rewards","MATIC","0.00075340","Binance Earn"
"812765506","2024-03-08 01:31:38","Spot","Simple Earn Locked Rewards","MATIC","0.00075340","Binance Earn"
"812765506","2024-03-08 08:49:00","Spot","Transaction Spend","DAI","-668.41002500",""
"812765506","2024-03-08 08:49:00","Spot","Transaction Fee","ETH","-0.00016910",""
"812765506","2024-03-08 08:49:00","Spot","Transaction Buy","ETH","0.16910000",""
"812765506","2024-03-09 01:31:36","Spot","Simple Earn Locked Rewards","MATIC","0.00075340","Binance Earn"
"812765506","2024-03-10 01:31:37","Spot","Simple Earn Locked Rewards","MATIC","0.00075340","Binance Earn"
"812765506","2024-03-11 01:31:36","Spot","Simple Earn Locked Rewards","MATIC","0.00075340","Binance Earn"
"812765506","2024-03-12 01:31:37","Spot","Simple Earn Locked Rewards","MATIC","0.00075340","Binance Earn"
"812765506","2024-03-13 01:31:39","Spot","Simple Earn Locked Rewards","MATIC","0.00075340","Binance Earn"
"812765506","2024-03-14 03:31:37","Spot","Simple Earn Locked Rewards","MATIC","0.00075340","Binance Earn"
"812765506","2024-03-15 01:31:39","Spot","Simple Earn Locked Rewards","MATIC","0.00075340","Binance Earn"
"812765506","2024-03-15 04:25:47","Spot","Transaction Sold","ETH","-0.05480000",""
"812765506","2024-03-15 04:25:47","Spot","Transaction Sold","ETH","-0.11420000",""
"812765506","2024-03-15 04:25:47","Spot","Transaction Revenue","DAI","422.95797200",""
"812765506","2024-03-15 04:25:47","Spot","Transaction Fee","DAI","-0.20296057",""
"812765506","2024-03-15 04:25:47","Spot","Transaction Revenue","DAI","202.96056800",""
"812765506","2024-03-15 04:25:47","Spot","Transaction Fee","DAI","-0.42295797",""
"812765506","2024-03-15 13:44:15","Spot","Transaction Fee","ETH","-0.00000196",""
"812765506","2024-03-15 13:44:15","Spot","Transaction Sold","MATIC","-6.50000000",""
"812765506","2024-03-15 13:44:15","Spot","Transaction Revenue","ETH","0.00196235",""
